2019-11-30 00:00:01,015 INFO 26931 [egg-logrotator] agent logger reload: got log-reload message
2019-11-30 10:32:12,362 WARN 26931 [agent:development] reload worker because /Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/controller/shop_homepage.js rename
2019-11-30 10:32:24,138 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/swagger-ui-standalone-preset.js.map","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360037,"size":139264,"blocks":272,"atimeMs":1575081144000,"mtimeMs":1575081144000,"ctimeMs":1575081144000,"birthtimeMs":1575081144000,"atime":"2019-11-30T02:32:24.000Z","mtime":"2019-11-30T02:32:24.000Z","ctime":"2019-11-30T02:32:24.000Z","birthtime":"2019-11-30T02:32:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:32:24,188 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/swagger-ui-standalone-preset.js.map","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360037,"size":1853456,"blocks":3624,"atimeMs":1575081144000,"mtimeMs":1575081144000,"ctimeMs":1575081144000,"birthtimeMs":1575081144000,"atime":"2019-11-30T02:32:24.000Z","mtime":"2019-11-30T02:32:24.000Z","ctime":"2019-11-30T02:32:24.000Z","birthtime":"2019-11-30T02:32:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:32:24,188 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/swagger-ui.css","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360038,"size":154003,"blocks":304,"atimeMs":1575081144000,"mtimeMs":1575081144000,"ctimeMs":1575081144000,"birthtimeMs":1575081144000,"atime":"2019-11-30T02:32:24.000Z","mtime":"2019-11-30T02:32:24.000Z","ctime":"2019-11-30T02:32:24.000Z","birthtime":"2019-11-30T02:32:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:32:24,189 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/swagger-ui.css.map","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360039,"size":91,"blocks":8,"atimeMs":1575081144000,"mtimeMs":1575081144000,"ctimeMs":1575081144000,"birthtimeMs":1575081144000,"atime":"2019-11-30T02:32:24.000Z","mtime":"2019-11-30T02:32:24.000Z","ctime":"2019-11-30T02:32:24.000Z","birthtime":"2019-11-30T02:32:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:32:24,189 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/swagger-ui.js","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360040,"size":617094,"blocks":1208,"atimeMs":1575081144000,"mtimeMs":1575081144000,"ctimeMs":1575081144000,"birthtimeMs":1575081144000,"atime":"2019-11-30T02:32:24.000Z","mtime":"2019-11-30T02:32:24.000Z","ctime":"2019-11-30T02:32:24.000Z","birthtime":"2019-11-30T02:32:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:32:24,189 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/swagger-ui.js.map","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360041,"size":1259447,"blocks":2464,"atimeMs":1575081144000,"mtimeMs":1575081144000,"ctimeMs":1575081144000,"birthtimeMs":1575081144000,"atime":"2019-11-30T02:32:24.000Z","mtime":"2019-11-30T02:32:24.000Z","ctime":"2019-11-30T02:32:24.000Z","birthtime":"2019-11-30T02:32:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:32:24,189 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/swagger.json","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":61924936,"size":2204,"blocks":8,"atimeMs":1575081028000,"mtimeMs":1575081144000,"ctimeMs":1575081144000,"birthtimeMs":1574073956000,"atime":"2019-11-30T02:30:28.000Z","mtime":"2019-11-30T02:32:24.000Z","ctime":"2019-11-30T02:32:24.000Z","birthtime":"2019-11-18T10:45:56.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:35:03,236 WARN 26931 [agent:development] reload worker because /Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/model/shops.js rename
2019-11-30 10:35:03,033 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/model/shops.js","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360743,"size":0,"blocks":0,"atimeMs":1575081302000,"mtimeMs":1575081302000,"ctimeMs":1575081302000,"birthtimeMs":1575081302000,"atime":"2019-11-30T02:35:02.000Z","mtime":"2019-11-30T02:35:02.000Z","ctime":"2019-11-30T02:35:02.000Z","birthtime":"2019-11-30T02:35:02.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:35:15,931 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/favicon-16x16.png","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360789,"size":445,"blocks":8,"atimeMs":1575081315000,"mtimeMs":1575081315000,"ctimeMs":1575081315000,"birthtimeMs":1575081315000,"atime":"2019-11-30T02:35:15.000Z","mtime":"2019-11-30T02:35:15.000Z","ctime":"2019-11-30T02:35:15.000Z","birthtime":"2019-11-30T02:35:15.000Z"},"remove":false,"isDirectory":false,"isFile":true}
